mean_pps,mean_bps,total_packets,total_bytes,var_pps,label
0.5625007830759595,6.554457807782041,107,1303,0.4589010376626686,BENIGN
0.2081450733304404,13.3789483152701,319,32516,0.25163144502007184,BENIGN
0.002581160385179594,0.03311411735377193,4075,54517,2.7586842330280894e-05,BENIGN
0.0007464176707183665,0.008277504634786348,4893,61783,1.7737411490805765e-07,BENIGN
0.0008030678548919881,0.008682696455816997,4614,59217,2.6625871356820065e-07,BENIGN
0.0006992491087271437,0.008497043605645307,4858,62396,1.3416124153862108e-07,BENIGN
0.000778563669242425,0.008764035783325902,4335,57959,2.850755871165876e-07,BENIGN
0.0015521772488582461,0.020806045971559467,3397,43651,3.51005783013455e-05,BENIGN
0.044281807398362884,1.2061109350170185,231,5890,0.019444934687106022,BENIGN
0.004611110593709681,0.05913296117304801,400,26809,9.077243861938504e-05,BENIGN
0.00013080167770036024,0.0033021753785685694,116,3010,3.74573821341854e-07,BENIGN
0.0002865015219597944,0.008197909201138626,116,2961,1.0096199986931505e-06,BENIGN
0.00010356033028339016,0.0026303785939253595,114,2947,1.690912613705687e-07,BENIGN
0.00011721529519922694,0.002893461020847131,122,3127,3.242913632224612e-07,BENIGN
0.0009776465988943443,0.009161235095828866,4694,71311,1.1063031332061498e-05,BENIGN
0.0008860143375073,0.005783692182294152,1131,69493,1.2369966507555626e-05,BENIGN
0.004021188734632507,0.08440318293265563,910,67234,6.77627429753335e-05,BENIGN
0.010969125437541409,0.20870572769077542,240,5012,0.0001248514403221454,BENIGN
0.008325087592503793,0.14928785976344794,246,5096,0.00010094165908959477,BENIGN
0.0078059329561322175,0.16427935057491166,252,5568,0.00010876487277674632,BENIGN
0.00676673439112834,0.14076062418292576,264,6224,8.454216256740353e-05,BENIGN
0.00870876534457481,0.1780838658702264,256,5946,0.00010285730102334276,BENIGN
0.009495416153258184,0.18505869406101724,242,5114,0.00010912611040799584,BENIGN
0.009162878539399979,0.192149201714919,264,5922,0.0001086350779824068,BENIGN
0.010562170110683144,0.2012313038688579,254,5238,0.0001168982312937423,BENIGN
0.008170376167349846,0.1573345994729417,427,18540,0.00010584260692530046,BENIGN
0.0014738907892445855,0.009051794963582384,667,33353,2.3239641020297924e-05,BENIGN
0.00044161904932885505,0.0028654878485990976,879,43417,9.446034639050768e-06,BENIGN
0.00030840034713773453,0.006086641649322125,1292,90783,4.5881237342138784e-06,BENIGN
0.0004941022590519701,0.0023101238315668795,904,43649,5.646081613825491e-06,BENIGN
0.0009624646429243422,0.006052053776316678,697,28035,1.0550797736985386e-05,BENIGN
0.05551623736978715,0.7696799046270774,906,12984,0.02625571780206113,BENIGN
0.13444232175981974,3.0615579150268495,1195,1290879,0.11127844621890966,BENIGN
0.30773347494938547,3.594723274146091,108,764,0.30472045154707694,BENIGN
0.2826001745301234,2.7839021640431008,115,780,0.19958942958353287,BENIGN
0.24396054290725527,2.4941957457807,135,22902,0.2000233500864708,BENIGN
0.12612386475856754,0.5597757315075675,694,76590,0.05437358305536589,BENIGN
0.0008663909813299238,0.006198294397041368,1925,98272,3.4667159877091104e-05,BENIGN
0.006764358406958195,0.12657814437843168,226,5508,0.00010985790901538516,BENIGN
0.011423264527348724,0.23390821630814604,252,5656,0.00013486473803538468,BENIGN
0.010108735776943744,0.20437458568786163,250,5510,0.00012543578452019316,BENIGN
0.005283281654902822,0.10303086361906706,1795,23896,8.207055806929797e-05,BENIGN
0.016140861915096685,0.06804687175853733,497,21536,0.005004704111654004,BENIGN
0.007015786237794358,0.017765105829103584,951,59771,0.001636483478248246,BENIGN
0.01429458018239626,0.09295969858121435,843,40903,0.008877507044814428,BENIGN
0.014975913961086966,0.10925495488789289,1370,60713,0.00890943909852783,BENIGN
0.0026298423883605133,0.051629079968002305,543,55316,5.859485389435826e-05,BENIGN
0.010658853461339164,0.2151464723132581,200,3918,7.583913832552447e-05,BENIGN
0.008741995001071347,0.15316296664472914,200,3672,9.926276619790525e-05,BENIGN
0.008112100893903917,0.14780276921694283,200,3660,7.709828093438876e-05,BENIGN
0.005444927388817482,0.10074017483227644,204,3600,6.922014907004474e-05,BENIGN
0.0027490448582533173,0.041382658239725145,1229,10726,4.1098797059330205e-05,BENIGN
0.00234548405912707,0.03452807317002291,4425,136836,7.870831068026296e-05,BENIGN
0.00024511322291387284,0.0025204497016920297,2094,42944,1.8580624393474953e-07,BENIGN
0.04083706880624314,0.2451067144390896,903,43860,0.07996495871584697,BENIGN
0.0008012413542937513,0.002248350819701234,840,323510,1.572751624239899e-05,BENIGN
9.764696704861552e-05,0.0033691598725366133,871,58423,1.4243991766649382e-08,BENIGN
0.0503314369509979,0.3011549677254328,1247,116957,0.08415464879102236,BENIGN
0.01276237072057169,0.24280555002805582,509,13198,7.323873039782265e-05,BENIGN
0.013555156448720174,0.23096747151499095,200,3356,0.00011788288843352462,BENIGN
0.004802746503011824,0.08439768963256451,1165,35360,5.4729770087232966e-05,BENIGN
0.037876686719737665,0.22749396300554786,1195,49725,0.02185217848810346,BENIGN
0.05868800116408576,1.4752477111152538,444,14329,0.04092349796322965,BENIGN
0.0002678430817240099,0.007808372666054433,102,2731,9.122559474587479e-07,BENIGN
0.0001878448608162934,0.00502651205602857,104,2763,4.378029542118624e-07,BENIGN
0.0007389272472702422,0.01930171789538417,112,2775,2.2299346046749114e-06,BENIGN
0.0022125423365385866,0.02779337036902552,214,5730,5.1328145346280896e-05,BENIGN
0.05556176961480885,1.8191349319819397,234,10480,0.024403123229327032,BENIGN
0.040045044184096115,0.42727069391859696,303,12838,0.02284849177775992,BENIGN
0.03551630180346077,0.7375306404358614,494,460889,0.008986792845436244,BENIGN
0.14841972989557045,4.827386600674265,110,1301,0.05844794509181674,BENIGN
0.10943796170380977,10.496522058878018,106,5838,0.045470790985537655,BENIGN
0.19150106306948614,3.243627556075402,331,1127,0.07275125942822375,BENIGN
0.21202802216904781,1.765744654825271,177,2984,0.19324431543943182,BENIGN
0.00680194721364744,0.08050967082631894,967,15783,0.00011345286442961025,BENIGN
0.03770408016936637,0.9881232852828284,166,2677,0.017763905741303255,BENIGN
0.03513617161753896,2.680616271375769,327,10949,0.013582820906096993,BENIGN
0.06697563881438391,3.508672954185166,802,58748,0.032028309589980236,BENIGN
0.14136926048710785,3.5635346714001175,503,87057,0.1348006004379031,BENIGN
0.07427347232976966,21.060334321476034,862,37187,0.035192956801348756,BENIGN
0.24831215794615688,2.565920408984627,118,845,0.1436419118816329,BENIGN
0.1365107438308767,1.16518528854734,335,7910,0.091656847345129,BENIGN
0.02988583746582981,0.21041153663862325,669,43601,0.017304747571127925,BENIGN
0.004733305670178699,0.0808620613202109,200,3590,6.592478721297398e-05,BENIGN
0.0037457143183372366,0.06057704313631922,939,183617,4.160772228965477e-05,BENIGN
0.013356662615807344,0.08027467585729779,555,24841,0.00888825879450811,BENIGN
0.005197208276806594,0.11000002398288601,847,56343,5.553271388692566e-05,BENIGN
